monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.293355829Z level=info msg="Executing migration" id="update login and email fields to lowercase"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.293519367Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase" duration=163.439µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.294900672Z level=info msg="Executing migration" id="update login and email fields to lowercase2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.2950362Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase2" duration=135.602µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.296324785Z level=info msg="Executing migration" id="create temp user table v1-7"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.296682195Z level=info msg="Migration successfully executed" id="create temp user table v1-7" duration=357.238µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.298247163Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v1-7"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.298558727Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v1-7" duration=307.293µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.299986849Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v1-7"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.300286099Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v1-7" duration=299.054µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.301686509Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v1-7"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.301967052Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v1-7" duration=283.804µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.303296409Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v1-7"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.303586717Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v1-7" duration=290.087µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.304940197Z level=info msg="Executing migration" id="Update temp_user table charset"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.304951508Z level=info msg="Migration successfully executed" id="Update temp_user table charset" duration=11.394µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.306301808Z level=info msg="Executing migration" id="drop index IDX_temp_user_email - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.306601324Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_email - v1" duration=299.507µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.307946749Z level=info msg="Executing migration" id="drop index IDX_temp_user_org_id - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.308223811Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_org_id - v1" duration=277.014µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.309468908Z level=info msg="Executing migration" id="drop index IDX_temp_user_code - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.309757071Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_code - v1" duration=288.036µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.311038388Z level=info msg="Executing migration" id="drop index IDX_temp_user_status - v1"
